"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"80",80,80,80,"height4","(522 + 141) - (733B + 141)",0.83,0.55696077,30.72124353,-1.215185092,2.875185092,1.490230633,0.236758981,"ns"
"81",81,81,81,"height4","(522 + 141) - ExCtrl",3.77,0.682134846,30.72124353,1.265170047,6.274829953,5.526766477,1.31e-05,"****"
"82",82,82,82,"height4","(522 + 141) - InCtrl",4.068274474,0.558612804,31.07251316,2.019468711,6.117080236,7.282816366,3.59e-07,"****"
"83",83,83,83,"height4","702A - (702A + 141)",-4.295,0.55696077,30.72124353,-6.340185092,-2.249814908,-7.71149466,1.89e-07,"****"
"84",84,84,84,"height4","702A - 717A",-0.643829353,0.558612804,31.07251316,-2.692635116,1.404976409,-1.152550297,0.388978419,"ns"
"85",85,85,85,"height4","702A - (717A + 141)",-3.185,0.55696077,30.72124353,-5.230185092,-1.139814908,-5.718535621,8.18e-06,"****"
"86",86,86,86,"height4","702A - 733B",-0.257943237,0.558612804,31.07251316,-2.306748999,1.790862525,-0.461756757,0.760975225,"ns"
"87",87,87,87,"height4","702A - (733B + 141)",-3.72,0.55696077,30.72124353,-5.765185092,-1.674814908,-6.679105968,8.66e-07,"****"
"88",88,88,88,"height4","702A - ExCtrl",-0.78,0.682134846,30.72124353,-3.284829953,1.724829953,-1.143468926,0.388978419,"ns"
"89",89,89,89,"height4","702A - InCtrl",-0.481725526,0.558612804,31.07251316,-2.530531289,1.567080236,-0.862360337,0.530007182,"ns"
"90",90,90,90,"height4","(702A + 141) - 717A",3.651170647,0.558612804,31.07251316,1.602364884,5.699976409,6.536138481,1.13e-06,"****"
"91",91,91,91,"height4","(702A + 141) - (717A + 141)",1.11,0.55696077,30.72124353,-0.935185092,3.155185092,1.992959039,0.094897619,"ns"
"92",92,92,92,"height4","(702A + 141) - 733B",4.037056763,0.558612804,31.07251316,1.988251001,6.085862525,7.226932021,3.59e-07,"****"
"93",93,93,93,"height4","(702A + 141) - (733B + 141)",0.575,0.55696077,30.72124353,-1.470185092,2.620185092,1.032388691,0.448610964,"ns"
"94",94,94,94,"height4","(702A + 141) - ExCtrl",3.515,0.682134846,30.72124353,1.010170047,6.019829953,5.152940097,3.25e-05,"****"
"95",95,95,95,"height4","(702A + 141) - InCtrl",3.813274474,0.558612804,31.07251316,1.764468711,5.862080236,6.82632844,6.51e-07,"****"
"96",96,96,96,"height4","717A - (717A + 141)",-2.541170647,0.558612804,31.07251316,-4.589976409,-0.492364884,-4.549073395,0.000157917,"***"
"97",97,97,97,"height4","717A - 733B",0.385886116,0.560259968,31.42525028,-1.666557818,2.438330051,0.688762608,0.620033284,"ns"
